annee;naissances;deces;solde_naturel;taux_natalite_pour_1000;taux_mortalite_pour_1000;population;part_population_65_plus_pct;part_population_15_49_pct;pib_par_habitant_eur;taux_chomage_pct;taux_emploi_feminin_pct;niveau_education_moyen_annees;esperance_vie_totale;mortalite_infantile_pour_1000;incidence_maladies_chroniques_pour_100k;mortalite_cardiovasculaire_pour_100k;taux_fecondite_total;age_moyen_maternite;depenses_sante_pct_pib;depenses_politique_familiale_pct_pib;places_garde_pour_1000_enfants;prix_moyen_logement_eur_m2;politique_conge_parental;acces_pma;crise_sanitaire;reforme_retraites;plan_natalite
2010;832800;551200;281600;12.89;8.53;64610000;17.0;40.0;29817;9.7;59.3;11.2;81.5;3.5;3700;186;2.03;30.1;9.0;3.2;395;2800;Étendu;Restreint;Non;Réforme 2010;Oui
2011;823400;545100;278300;12.68;8.4;64930000;17.3;39.7;30568;9.6;59.7;11.3;81.9;3.5;3750;183;2.01;30.1;9.0;3.15;400;2950;Étendu;Restreint;Non;Réforme 2010;Oui
2012;822000;569900;252100;12.6;8.74;65240000;17.7;39.4;31014;10.2;60.0;11.3;81.7;3.5;3800;180;2.0;30.2;9.1;3.1;405;3000;Étendu;Restreint;Non;Réforme 2010;Oui
2013;811500;567000;244500;12.38;8.65;65560000;18.0;39.1;31377;10.3;60.5;11.4;82.0;3.6;3850;178;1.99;30.3;9.2;3.0;410;3050;Étendu;Restreint;Non;Réforme 2010;Oui
2014;811400;559300;252100;12.31;8.49;65910000;18.3;38.8;31789;10.3;61.0;11.4;82.3;3.5;3900;176;1.98;30.4;9.2;2.95;415;3100;Réformé;Restreint;Non;Non;Oui
2015;800000;593700;206300;12.07;8.96;66270000;18.8;38.5;32192;10.4;61.7;11.5;82.4;3.5;3950;174;1.96;30.4;9.3;2.9;418;3200;Réformé;Restreint;Non;Non;Partiel
2016;783600;587000;196600;11.76;8.81;66620000;19.2;38.2;32794;10.1;62.2;11.5;82.5;3.6;4000;172;1.92;30.5;9.3;2.85;420;3350;Réformé;Restreint;Non;Non;Partiel
2017;769600;606000;163600;11.5;9.05;66950000;19.6;38.0;33805;9.4;62.8;11.6;82.5;3.6;4050;170;1.9;30.6;9.3;2.8;420;3500;Réformé;Restreint;Non;Non;Partiel
2018;758600;614000;144600;11.29;9.14;67190000;20.0;37.8;34978;9.1;63.5;11.6;82.7;3.6;4100;168;1.87;30.6;9.3;2.75;418;3650;Réformé;Restreint;Non;Non;Partiel
2019;753400;613200;140200;11.18;9.1;67390000;20.2;37.6;35540;8.4;64.0;11.7;82.8;3.6;4150;167;1.86;30.7;9.3;2.7;415;3800;Réformé;Restreint;Non;Réforme 2019-débat;Partiel
2020;740000;669000;71000;10.95;9.9;67570000;20.5;37.4;32543;8.0;63.5;11.7;82.3;3.6;4200;172;1.83;30.8;10.3;2.7;410;3850;Réformé+;Restreint;COVID-19;Réforme 2019-débat;Renforcé
2021;742100;660700;81400;10.95;9.75;67750000;20.8;37.3;36250;7.9;65.0;11.8;82.4;3.7;4250;170;1.84;30.9;10.1;2.65;412;3950;Réformé+;Élargi;COVID-19;Non;Renforcé
2022;726000;667500;58500;10.7;9.84;67840000;21.0;37.2;37720;7.3;66.0;11.8;82.3;3.7;4300;168;1.8;30.9;9.8;2.6;414;4100;Réformé+;Élargi;COVID-19;Non;Renforcé
2023;678000;639000;39000;9.97;9.4;67970000;21.3;37.1;38500;7.1;67.0;11.9;82.5;3.7;4350;166;1.68;31.0;9.5;2.55;416;4050;Réformé+;Élargi;Non;Réforme 2023;Renforcé
2024;663000;640000;23000;9.74;9.41;68040000;21.5;37.0;39100;7.5;67.8;11.9;82.6;3.7;4400;165;1.62;31.1;9.4;2.5;418;4000;Réformé+;Élargi;Non;Réforme 2023;Renforcé
2025;655000;645000;10000;9.62;9.47;68090000;21.7;36.9;39500;7.3;68.5;12.0;82.7;3.7;4450;164;1.6;31.2;9.4;2.5;420;4050;Réformé+;Élargi;Non;Réforme 2023;Renforcé
